,class,ID,a1_1,a1_2,a1_3,a2_1,a2_2,a2_3,a3_1,a3_2,a4_1,a4_2,a4_3,a5_1,a5_2,a5_3,a5_4,a6_1,a6_2
0,0,data_2,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
1,0,data_3,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
2,0,data_4,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
3,0,data_5,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
4,0,data_6,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
5,0,data_7,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
6,0,data_8,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
7,0,data_9,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
8,0,data_10,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
9,0,data_11,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
10,0,data_12,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
11,0,data_13,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
12,0,data_14,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
13,0,data_15,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
14,0,data_16,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
15,0,data_17,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
16,0,data_18,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
17,0,data_19,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
18,0,data_20,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
19,0,data_21,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
20,0,data_22,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
21,0,data_23,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
22,0,data_24,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
23,0,data_25,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
24,0,data_26,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True
25,0,data_27,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
26,0,data_28,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
